Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Los Angeles Dodgers,95,43,.688,W 1,5.4,3.2,2.2,-0.2,1.9,99-39,-4,19-14,21-9,40-15,15-5,49-18,46-25,4-7,12-13,66-30,29-13,34-21,61-22,5-5,13-7,20-10
2,Houston Astros,89,50,.640,L 1,4.5,3.3,1.2,-0.1,1.1,89-50,0,10-12,23-8,47-24,9-6,46-22,43-28,4-5,24-16,55-39,34-11,39-23,50-27,7-3,13-7,19-11
3,New York Mets,88,52,.629,W 1,4.7,3.7,1.0,0.0,1.0,84-56,4,45-22,17-6,19-14,7-10,46-23,42-29,9-2,19-15,61-32,27-20,39-30,49-22,6-4,11-9,17-13
4,Atlanta Braves,87,52,.626,L 1,5.0,3.8,1.2,-0.1,1.0,86-53,1,35-22,21-12,18-12,13-6,47-25,40-27,5-6,22-13,55-39,32-13,28-31,59-21,8-2,15-5,23-7
5,New York Yankees,84,56,.600,W 1,4.9,3.5,1.4,0.1,1.5,91-49,-7,37-26,25-8,15-14,7-8,49-22,35-34,8-7,26-23,60-41,24-15,50-40,34-16,5-5,11-9,13-17
6,St. Louis Cardinals,82,58,.586,W 1,4.9,4.0,0.9,-0.3,0.6,83-57,-1,16-18,39-21,17-9,10-10,47-24,35-34,6-4,20-14,60-49,22-9,26-29,56-29,7-3,13-7,21-9
7,Tampa Bay Rays,78,59,.569,L 1,4.2,3.7,0.5,0.0,0.5,77-60,1,36-27,14-15,16-9,12-8,47-24,31-35,10-9,26-21,57-45,21-14,37-39,41-20,8-2,15-5,21-9
8,Toronto Blue Jays,78,60,.565,W 3,4.7,4.2,0.5,0.1,0.6,76-62,2,30-25,19-15,17-14,12-6,38-29,40-31,7-6,28-17,67-44,11-16,37-44,41-16,8-2,14-6,18-12
9,Seattle Mariners,78,61,.561,W 1,4.2,3.7,0.5,0.1,0.6,77-62,1,16-17,17-9,35-28,10-7,37-31,41-30,9-5,28-17,62-43,16-18,39-36,39-25,7-3,13-7,20-10
10,Philadelphia Phillies,77,62,.554,W 2,4.7,4.2,0.5,0.0,0.5,77-62,0,33-28,20-10,17-16,7-8,43-31,34-31,7-5,19-21,51-46,26-16,29-34,48-28,5-5,12-8,16-14
11,San Diego Padres,77,63,.550,L 1,4.4,4.2,0.2,-0.1,0.2,73-67,4,19-15,19-10,33-29,6-9,38-30,39-33,11-3,28-13,49-42,28-21,22-32,55-31,6-4,11-9,16-14
12,Milwaukee Brewers,74,66,.529,W 1,4.5,4.3,0.2,-0.2,0.0,72-68,2,11-13,36-31,14-18,13-4,38-27,36-39,8-8,24-20,50-43,24-23,30-28,44-38,5-5,10-10,14-16
13,Cleveland Guardians,72,65,.526,W 2,4.2,4.0,0.2,-0.1,0.0,71-66,1,13-16,35-25,12-16,12-8,33-30,39-35,10-4,23-16,50-49,22-16,37-34,35-31,4-6,10-10,17-13
14,Baltimore Orioles,73,66,.525,L 1,4.2,4.2,0.0,0.1,0.1,70-69,3,29-33,15-15,19-10,10-8,41-29,32-37,8-4,19-21,47-49,26-17,39-44,34-22,5-5,11-9,16-14
15,Chicago White Sox,72,68,.514,W 4,4.4,4.4,0.0,-0.1,-0.1,70-70,2,15-17,31-29,18-15,8-7,34-36,38-32,5-7,23-15,57-52,15-16,31-39,41-29,8-2,11-9,16-14
16,Minnesota Twins,69,69,.500,L 2,4.4,4.3,0.1,0.0,0.1,71-67,-2,18-16,31-24,12-17,8-12,40-31,29-38,5-9,19-22,46-51,23-18,32-45,37-24,2-8,7-13,12-18
